,bus_stop_id,bus_stop_ars,bus_stop_name,sum
32,105000015,6015,청량리역환승센타,56807
69,105000446,6019,청량리역환승센터,35272
42,105000103,6189,서울시립대학교앞,30116
43,105000105,6191,전농로터리시장.동부교육지원청,27022
41,105000101,6187,떡전교앞,22121
40,105000100,6186,떡전교앞,15531
19,102000071,3165,순천향대학병원.한남오거리,14825
33,105000029,6113,서울성심병원,13839
70,105000478,6021,청량리미주아파트.동대문세무서,13691
45,105000109,6195,청솔우성아파트.답십리시장,13496
130,111000025,12111,구파발역2번출구,13461
44,105000106,6192,전농우체국앞,13200
151,112000408,13029,홍제역,13199
155,121000011,22011,지하철2호선강남역,12557
34,105000030,6114,서울성심병원,12218
163,122000210,23314,도곡1동주민센터.역삼럭키아파트,12011
154,121000009,22009,신분당선강남역,11511
159,122000120,23223,삼성아파트입구,11465
129,111000020,12106,연신내역,11196
167,122000227,23331,한티역6번출구,10924
100,106000152,7247,사가정역,10818
2,100000362,13037,영천시장,10458
48,105000115,6201,황물로사거리,10419
67,105000402,6020,청량리역환승센터,10152
152,112000409,13040,인왕산.홍제원아파트,9984
3,100000365,1037,동대문(흥인지문),9885
133,111000099,12187,불광지구대,9782
117,107000233,8329,현대백화점,9759
138,111000546,12463,신도초교.은평메디텍고등학교,9448
16,101000106,2210,국립극장.반얀트리호텔,9373
50,105000125,6211,배봉초등학교.전농우성아파트,9223
156,121000013,22013,논현역,9058
166,122000226,23330,도곡렉슬아파트.강남세브란스병원,9032
157,121000015,22015,신사역.푸른저축은행,8747
143,111000932,12021,불광역3.6호선,8260
158,122000119,23222,한티역3번출구.서울강남고용노동지청,8233
134,111000100,12188,북한산대창센시티아파트,8089
165,122000217,23321,뱅뱅사거리뱅뱅프라자,7970
142,111000930,12019,동명여고.천주교불광동성당,7919
144,111000934,12023,불광역3호선.서울혁신파크,7914
18,102000067,3161,서울시중부기술교육원.블루스퀘어,7844
74,105000485,6028,신설동역,7747
164,122000211,23315,도곡1차아이파크.도곡중학교,7488
5,100000368,1169,서대문역사거리.적십자병원,7467
71,105000480,6022,청량리.청과물도매시장,7044
140,111000550,12459,진관동주민센터.은평우체국,7040
30,104000160,5253,능동사거리.군자역,6953
114,107000082,8172,미아초교,6932
4,100000367,1044,동묘앞,6756
51,105000127,6213,장안2동주민센터,6729
150,112000406,13027,산골고개,6684
173,123000045,24134,잠실역1번.11번출구,6520
148,112000400,13032,무악재역,6475
115,107000084,8174,길음동동부아파트,6470
153,121000007,22007,래미안아파트.파이낸셜뉴스(중),6113
36,105000081,6167,경동시장앞,6004
12,100000397,1022,종로6가.동대문종합시장,5906
145,111000936,12025,한전성서지사.북한산푸르지오,5903
126,108000081,9169,송천초등학교.미아뉴타운입구,5857
105,106000172,7267,중랑구청,5779
178,123000136,24225,방이시장입구,5745
170,122000248,23352,개포동역.개포시장,5723
107,106000213,7308,상봉터미널,5567
146,111000938,12027,녹번역,5567
112,107000063,8153,종암동주민센터,5514
99,106000150,7245,면목두산아파트2차,5512
39,105000087,6173,고려대역.고대앞삼거리,5495
149,112000401,13035,독립문역.한성과학고,5380
64,105000212,6298,전동초등학교.전농동SK아파트,5374
47,105000113,6199,답십리초등학교앞,5342
113,107000065,8155,숭례초등학교,5316
132,111000098,12186,종로약국,5299
95,106000101,7195,용마문화복지센터,5289
97,106000105,7199,면중초등학교,5262
15,101000100,2204,장충동.동국대입구,5221
131,111000097,12185,연서시장,5195
14,101000074,2173,동대문역사문화공원,5134
174,123000047,24136,송파구청.방이맛골,5065
110,107000059,8149,성가복지병원,5021
46,105000111,6197,답십리1동희망샘교회앞,4918
175,123000108,24197,방이동사거리,4864
187,123000640,24281,인애가요양병원,4857
111,107000061,8151,종암경찰서,4840
11,100000395,1020,종로5가.광장시장,4820
9,100000391,1016,종로3가.탑골공원,4710
65,105000228,6315,청량리미주상가앞,4709
49,105000123,6209,전농사거리,4610
7,100000387,1012,종로1가,4585
25,104000082,5175,광진구청,4516
125,108000079,9167,삼양동사거리,4509
160,122000121,23224,농협대치지점,4486
98,106000148,7243,홈플러스면목동점,4449
93,106000097,7191,면일초등학교,4326
23,104000051,5144,구의사거리.광진소방서앞,4154
122,108000073,9161,롯데마트삼양점.래미안1차아파트,4124
121,108000071,9159,빨래골입구,4115
116,107000153,8248,길음역,4092
72,105000481,6024,제기동역.서울약령시,4071
73,105000483,6026,용두동사거리.한국의류시험연구원,3990
137,111000107,12195,은평노인종합복지관.신도중학교,3973
6,100000385,1010,광화문,3955
8,100000389,1014,종로2가,3939
61,105000199,6285,현대코아,3904
136,111000102,12190,폭포동,3816
0,100000028,1123,서울역사박물관.경교장.강북삼성병원,3810
92,106000095,7189,용마공원입구,3797
24,104000052,5145,광진경찰서,3787
94,106000100,7194,서일대학교,3764
181,123000140,24229,방이동대림코오롱아파트,3752
38,105000086,6172,제기동한신아파트앞,3742
82,106000073,7167,지하철7호선상봉역,3631
141,111000922,12465,두산위브205동앞,3628
161,122000122,23225,대치SKVIEW아파트.서울교회,3614
20,103000002,4002,청년회의소.서울새활용플라자,3500
10,100000393,1018,종로4가.종묘,3465
22,104000002,5002,군자교입구,3458
21,103000003,4003,장한평역,3394
17,102000064,3158,장충단로입구,3380
13,101000071,2170,광희동,3367
96,106000103,7197,중화중학교,3304
184,123000175,24265,오금동대림아파트,3278
75,105000557,6780,정화여자중.상업고등학교,3246
77,106000040,7134,망우역,3150
26,104000095,5188,자양동잠실대교북단,3129
81,106000071,7165,우림시장,3066
1,100000190,1288,종로중부새마을금고,2983
106,106000177,7272,성원아파트경남아너스빌앞,2963
53,105000184,6270,경희대입구,2830
54,105000186,6272,서울바이오허브,2784
119,108000052,9140,화계사입구사거리,2778
176,123000113,24202,서울방이동고분군,2753
52,105000129,6215,장안교은석초등학교,2742
139,111000548,12461,두산위브253동앞,2615
169,122000247,23351,경기여고,2614
186,123000632,24199,송파나루역,2494
120,108000069,9157,화계사입구,2483
76,106000037,7131,국민은행망우동지점,2462
135,111000101,12189,은평경찰서,2447
162,122000128,23231,대치역7번출구,2432
172,122000349,23466,개포도서관,2426
180,123000138,24227,신구블레스밸리앞,2314
128,111000009,12009,은평뉴타운10단지,2252
171,122000343,23457,개포중학교,2233
168,122000244,23348,수도전기공고후문,2194
31,104000290,5233,어린이회관,2114
27,104000138,5231,어린이대공원역3번출구,2077
78,106000065,7159,상봉터미널입구,2030
179,123000137,24226,방이초등학교,1989
123,108000075,9163,삼양초등학교,1986
101,106000154,7249,사가정시장,1956
55,105000189,6275,한국과학기술원.홍릉초등학교,1886
127,108000365,9305,화계사입구.한신대학교대학원,1804
84,106000076,7170,지하철7호선면목역,1762
29,104000159,5252,능동교회앞,1744
183,123000172,24262,오금공원사거리,1684
88,106000085,7179,지하철7호선사가정역,1676
56,105000191,6277,국방연구원,1667
177,123000132,24221,올림픽공원남2문,1633
37,105000084,6170,홍파초등학교,1621
118,108000050,9138,수유동삼양탕앞,1579
124,108000077,9165,강북청소년문화정보도서관입구,1575
28,104000158,5251,어린이대공원앞.세종대학교,1561
182,123000170,24260,송파레미니스후문,1559
87,106000083,7177,면목우체국.녹색병원,1469
104,106000170,7265,신현중학교,1438
90,106000088,7182,면남초등학교,1295
83,106000075,7169,면목초등학교,1294
89,106000086,7180,면목시장,1266
58,105000196,6282,동대문경찰서,1218
103,106000168,7263,엘지아파트앞,1202
86,106000081,7175,면동초등학교,1149
91,106000090,7184,방약국앞,1031
59,105000197,6283,동대문경찰서,1023
185,123000508,24480,잠실대교전망쉼터,936
80,106000069,7163,봉우재고개,917
66,105000233,6320,회기동현대아파트,912
85,106000079,7173,면목본동주민센터.면목정보도서관,912
102,106000166,7261,쌍용아파트신내테크노타운앞,829
108,106000311,7409,상봉1동주민센터,823
79,106000067,7161,혜원여중고입구,802
109,106000313,7411,신내쌍용아파트,772
60,105000198,6284,현대코아,754
35,105000031,6115,시조사,589
62,105000201,6287,동대문중앙새마을금고,563
68,105000440,6999,동대문노인종합복지관,554
57,105000194,6280,영휘원사거리.(구)홍릉사거리,546
147,111001113,12470,진관공영차고지,410
63,105000211,6297,청량리한신아파트,325
